"speciesID","rho"
1,0.956070035422669
3,0.860545024006069
4,0.892862681550093
5,0.731006118888636
6,0.798059964113274
7,0.914395246585501
8,0.868616147018241
9,0.634735811251428
10,0.915204603526618
12,0.95
11,0.985410066322894
13,0.985882999931548
14,0.952757153118821
16,0.449377321691554
17,0.942114554865816
18,0.935653397054897
19,0.934930685675348
20,0.922517565298783
21,0.876682069168408
22,0.941606926196637
23,0.825929589724369
24,0.912721814429047
25,0.925893863713372
26,0.911456622612268
27,0.892543805306674
28,0.778650181732214
30,0.907699606243598
31,0.826143561988147
32,0.801521138901452
33,0.962075778501954
